epoch,accuracy,loss,val_accuracy,val_loss
0,0.3678383529186249,1.3218168020248413,0.42939481139183044,1.2716776132583618
1,0.6695266962051392,0.9559231400489807,0.6541786789894104,0.9453701972961426
2,0.797121524810791,0.5713850855827332,0.7060518860816956,0.7971607446670532
3,0.8494325876235962,0.41416656970977783,0.6858789920806885,0.7681917548179626
4,0.8834763169288635,0.32774463295936584,0.6887608170509338,0.7916879653930664
5,0.9042347073554993,0.2727457880973816,0.6945244669914246,0.8746578693389893
6,0.9288679957389832,0.2249535173177719,0.680115282535553,0.9166080355644226
7,0.9413229823112488,0.19025099277496338,0.7002881765365601,0.9642195701599121
8,0.949349582195282,0.15743029117584229,0.6829971075057983,1.004213571548462
9,0.9587600231170654,0.1443863809108734,0.7060518860816956,1.0383397340774536
10,0.9656794667243958,0.12026439607143402,0.6916426420211792,1.1157948970794678
11,0.9687240719795227,0.11273515969514847,0.680115282535553,1.2018111944198608
12,0.9692776203155518,0.10245084762573242,0.6743515729904175,1.2433640956878662
13,0.9739828109741211,0.09022904187440872,0.6714697480201721,1.2317551374435425
14,0.972045361995697,0.0920524075627327,0.680115282535553,1.2929779291152954
15,0.9739828109741211,0.08549705892801285,0.6887608170509338,1.324169635772705
16,0.9748131632804871,0.07942557334899902,0.6772334575653076,1.3407429456710815
17,0.9778577089309692,0.07386203110218048,0.6916426420211792,1.3958338499069214
18,0.9773041605949402,0.0714590921998024,0.680115282535553,1.4236669540405273
19,0.9761970639228821,0.07136720418930054,0.680115282535553,1.4067573547363281
20,0.9784113168716431,0.0679687038064003,0.6714697480201721,1.4565305709838867
21,0.9767506122589111,0.07676941901445389,0.6858789920806885,1.5516637563705444
22,0.9775809645652771,0.06998048722743988,0.6858789920806885,1.494126319885254
23,0.9784113168716431,0.06401684135198593,0.6743515729904175,1.5688508749008179
24,0.9792416095733643,0.06307251751422882,0.6829971075057983,1.5122008323669434
