epoch,accuracy,loss,val_accuracy,val_loss
0,0.3670080304145813,1.3217185735702515,0.5158501267433167,1.2093476057052612
1,0.7675062417984009,0.7817003726959229,0.7723342776298523,0.6905608773231506
2,0.8926100134849548,0.3540501892566681,0.7723342776298523,0.6210207343101501
3,0.9238859415054321,0.23357434570789337,0.7867435216903687,0.6378641128540039
4,0.9402158856391907,0.17593418061733246,0.789625346660614,0.6803137063980103
5,0.9579296708106995,0.1373252123594284,0.7636887431144714,0.7523716688156128
6,0.9626349210739136,0.1155710369348526,0.7723342776298523,0.7758863568305969
7,0.9701079726219177,0.09652704745531082,0.7636887431144714,0.8325619101524353
8,0.9731525182723999,0.0836835578083992,0.7723342776298523,0.8789193630218506
9,0.974259614944458,0.07592878490686417,0.7723342776298523,0.9330276250839233
10,0.9773041605949402,0.06725446879863739,0.7780979871749878,0.9587634801864624
11,0.9795184135437012,0.06266888231039047,0.7780979871749878,1.003952980041504
12,0.9789648652076721,0.05785432457923889,0.7809798121452332,1.0268874168395996
13,0.9775809645652771,0.05753205344080925,0.7838616967201233,1.1022008657455444
14,0.9797951579093933,0.05244876816868782,0.7752161622047424,1.1263197660446167
15,0.9795184135437012,0.05046933889389038,0.7809798121452332,1.1486012935638428
16,0.9789648652076721,0.04963400214910507,0.7723342776298523,1.166190505027771
17,0.9803487658500671,0.047069501131772995,0.7752161622047424,1.1739240884780884
18,0.9789648652076721,0.0471232533454895,0.7550432085990906,1.2043814659118652
19,0.9800719618797302,0.043735723942518234,0.7723342776298523,1.2058120965957642
20,0.9797951579093933,0.045368634164333344,0.7665706276893616,1.2328217029571533
21,0.9767506122589111,0.04476412385702133,0.7752161622047424,1.2585240602493286
22,0.9792416095733643,0.042199235409498215,0.7694524526596069,1.2829461097717285
23,0.9795184135437012,0.040879130363464355,0.7752161622047424,1.305438756942749
24,0.9775809645652771,0.044784095138311386,0.7608069181442261,1.3017067909240723
